['1', '911106', 'I', '40/55', '20/20', '28/30', '40/45', '2', '911107', 'I', '29/55', '15/20', '20/30', '44/45', '3', '911108', 'I', '23/50', '11/25', '6/25', '4', '911109', 'I', '24/50', '18/25', '17/25', '5', '911110', 'I', '22/55', '17/20', '18/30', '32/45', '6', '911111', 'I', '29/50', '20/25', '21/25', '7', '911112', 'I', '36/75', '16/25']
['1', '911106', 'I', '22/55', '8/20', '14/30', '20/45', '2', '911107', 'I', '12/55', '14/20', '22/30', '36/45', '3', '911108', 'I', '11/50', '6/25', '10/25', '4', '911109', 'I', '9/50', '10/25', '10/25', '5', '911110', 'I', '17/55', '10/20', '12/30', '18/45', '6', '911111', 'I', '20/50', '15/25', '22/25', '7', '911112', 'I', '40/75', '12/25']
['1', '911106', 'I', '22/55', '16/20', '20/30', '30/45', '2', '911107', 'I', '26/55', '17/20', '20/30', '41/45', '3', '911108', 'I', '6/50', '12/25', '12/25', '4', '911109', 'I', '10/50', '18/25', '20/25', '5', '911110', 'I', '15/55', '16/20', '14/30', '24/45', '6', '911111', 'I', '34/50', '17/25', '20/25', '7', '911112', 'I', '46/75', '12/25']
['1', '911106', 'I', '36/55', '19/20', '24/30', '24/45', '2', '911107', 'I', '31/55', '17/20', '22/30', '44/45', '3', '911108', 'I', '38/50', '18/25', '20/25', '4', '911109', 'I', '22/50', '20/25', '22/25', '5', '911110', 'I', '22/55', '14/20', '12/30', '18/45', '6', '911111', 'I', '30/50', '17/25', '22/25', '7', '911112', 'I', '52/75', '12/25']
['1', '911106', 'I', '46/55', '17/20', '21/30', '26/45', '2', '911107', 'I', '44/55', '19/20', '20/30', '31/45', '3', '911108', 'I', '28/50', '16/25', '10/25', '4', '911109', 'I', '23/50', '18/25', '15/25', '5', '911110', 'I', '40/55', '14/20', '14/30', '22/45', '6', '911111', 'I', '35/50', '15/25', '17/25', '7', '911112', 'I', '47/75', '17/25']
['1', '911106', 'I', '39/55', '15/20', '24/30', '30/45', '2', '911107', 'I', '42/55', '16/20', '22/30', '39/45', '3', '911108', 'I', '11/50', '8/25', '6/25', '4', '911109', 'I', '22/50', '18/25', '15/25', '5', '911110', 'I', '35/55', '14/20', '16/30', '26/45', '6', '911111', 'I', '36/50', '21/25', '23/25', '7', '911112', 'I', '51/75', '17/25']
['1', '911106', 'I', '22/55', '8/20', '20/30', '23/45', '2', '911107', 'I', '22/55', '14/20', '13/30', '33/45', '3', '911108', 'I', '25/50', '10/25', '8/25', '4', '911109', 'I', '9/50', '0/25', '10/25', '5', '911110', 'I', '5/55', '16/20', '15/30', '25/45', '6', '911111', 'I', '4/50', '15/25', '0/25', '7', '911112', 'I', '10/75', '12/25']
['1', '911106', 'I', '53/55', '18/20', '26/30', '40/45', '2', '911107', 'I', '53/55', '16/20', '20/30', '41/45', '3', '911108', 'I', '43/50', '21/25', '20/25', '4', '911109', 'I', '23/50', '23/25', '23/25', '5', '911110', 'I', '37/55', '18/20', '18/30', '36/45', '6', '911111', 'I', '23/50', '21/25', '22/25', '7', '911112', 'I', '49/75', '13/25']
['1', '911106', 'I', '41/55', '16/20', '21/30', '23/45', '2', '911107', 'I', '55/55', '19/20', '25/30', '20/45', '3', '911108', 'I', '27/50', '14/25', '17/25', '4', '911109', 'I', '39/50', '10/25', '15/25', '5', '911110', 'I', '38/55', '8/20', '0/30', '8/45', '6', '911111', 'I', '35/50', '15/25', '17/25', '7', '911112', 'I', '53/75', '13/25']
['1', '911106', 'I', '28/55', '17/20', '23/30', '38/45', '2', '911107', 'I', '26/55', '15/20', '22/30', '42/45', '3', '911108', 'I', '41/50', '20/25', '15/25', '4', '911109', 'I', '20/50', '23/25', '22/25', '5', '911110', 'I', '13/55', '10/20', '20/30', '30/45', '6', '911111', 'I', '26/50', '20/25', '22/25', '7', '911112', 'I', '57/75', '15/25']
['1', '911106', 'I', '33/55', '14/20', '21/30', '28/45', '2', '911107', 'I', '22/55', '13/20', '26/30', '37/45', '3', '911108', 'I', '21/50', '16/25', '18/25', '4', '911109', 'I', '20/50', '16/25', '20/25', '5', '911110', 'I', '17/55', '14/20', '13/30', '22/45', '6', '911111', 'I', '23/50', '20/25', '22/25', '7', '911112', 'I', '42/75', '11/25']
